.04602 0.93481 -2.84733 0.71756 -0.06107 
0.01733 0.04395 0.93726 -2.86260 0.64885 -0.00763 
0.01880 0.04504 0.93860 -2.83206 0.65649 0.00000 
0.01379 0.04443 0.93909 -2.92366 0.71756 -0.10687 
0.01318 0.04431 0.93750 -2.92366 0.65649 -0.00763 
0.01257 0.04443 0.94312 -2.88550 0.70992 -0.02290 
0.01697 0.04199 0.94141 -2.93893 0.68702 -0.06870 
0.01868 0.04431 0.93799 -2.80916 0.70229 -0.06107 
0.01624 0.04077 0.93542 -2.92366 0.67939 -0.11450 
0.01794 0.04614 0.94116 -2.91603 0.74809 -0.04580 
0.01721 0.04370 0.93457 -2.90076 0.74046 -0.06870 
0.01721 0.04614 0.93921 -2.92366 0.71756 -0.11450 
0.01880 0.04272 0.93774 -2.87786 0.74809 -0.06870 
0.01672 0.04529 0.93542 -2.87786 0.65649 -0.05344 
0.01868 0.04333 0.93933 -2.90076 0.61069 -0.09924 
0.01782 0.04163 0.93909 -2.92366 0.70992 -0.00763 
0.01746 0.04077 0.93726 -2.92366 0.74046 -0.01527 
0.01746 0.04211 0.93994 -2.86260 0.74809 -0.05344 
0.02002 0.04553 0.93677 -2.93130 0.67176 -0.07634 
0.01880 0.04663 0.93823 -2.86260 0.70992 -0.00763 
0.01917 0.04321 0.93823 -2.91603 0.65649 -0.03817 
0.01465 0.04553 0.93433 -2.90076 0.59542 -0.05344 
0.01428 0.04382 0.93787 -2.88550 0.68702 -0.10687 
0.01794 0.04004 0.94202 -2.90840 0.67939 -0.09160 
0.01538 0.04236 0.93652 -2.90840 0.69466 -0.01527 
0.01599 0.04333 0.93860 -2.86260 0.71756 -0.03817 
0.01721 0.04517 0.93616 -2.91603 0.74809 -0.07634 
0.01892 0.04663 0.93604 -2.87023 0.66412 -0.06107 
0.01758 0.04346 0.93884 -2.80153 0.64885 -0.06870 
0.01672 0.04077 0.93921 -2.87786 0.66412 -0.06870 
0.01965 0.04175 0.93909 -2.94656 0.70229 -0.07634 
0.01880 0.04016 0.93689 -2.95420 0.72519 -0.06870 
0.01855 0.04211 0.93884 -2.86260 0.64122 -0.04580 
0.01843 0.04529 0.94055 -2.83969 0.63359 -0.05344 
0.01526 0.04712 0.93701 -2.86260 0.60305 -0.09160 
0.01746 0.04810 0.93945 -2.94656 0.67176 0.00000 
0.01587 0.04639 0.93896 -2.95420 0.65649 -0.09160 
0.01526 0.04224 0.94153 -2.83206 0.67176 -0.04580 
0.02197 0.03979 0.93445 -2.93893 0.69466 -0.06107 
0.01794 0.04016 0.93530 -2.89313 0.67939 -0.09924 
0.01807 0.04102 0.93311 -2.82443 0.72519 -0.00763 
0.01868 0.04517 0.93481 -2.96183 0.68702 -0.06107 
